"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-106.68","52.12","SASKATOON WATER TP","4057202","1996-01-01","1996","01","01","","-11.5","","-21.5","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","1996-01-02","1996","01","02","","-10.0","","-22.0","","-16.0","","34.0","","0.0","","0.0","","2.0","","2.0","","31","","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","1996-01-03","1996","01","03","","-17.0","","-20.0","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","1996-01-04","1996","01","04","","-27.5","","-32.5","","-30.0","","48.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","1996-01-05","1996","01","05","","-28.0","","-40.0","","-34.0","","52.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","1996-01-06","1996","01","06","","-5.0","","-39.0","","-22.0","","40.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","1996-01-07","1996","01","07","","-2.0","","-19.0","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","1996-01-08","1996","01","08","","0.5","","-11.0","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","1996-01-09","1996","01","09","","-3.5","","-11.5","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","1996-01-10","1996","01","10","","1.0","","-9.5","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
