"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-01","2020","01","01","","-3.9","","-12.3","","-8.1","","26.1","","0.0","","","","","","0.0","","8","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-02","2020","01","02","","-2.0","","-10.7","","-6.4","","24.4","","0.0","","","","","","0.0","","8","","28","","35",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-03","2020","01","03","","-4.5","","-12.0","","-8.2","","26.2","","0.0","","","","","","0.0","","9","","29","","31",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-04","2020","01","04","","2.5","","-7.9","","-2.7","","20.7","","0.0","","","","","","0.0","","9","","32","","47",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-05","2020","01","05","","-3.6","","-13.6","","-8.6","","26.6","","0.0","","","","","","0.0","","9","","30","","43",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-06","2020","01","06","","-3.7","","-24.0","","-13.8","","31.8","","0.0","","","","","","0.0","","9","","30","","63",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-07","2020","01","07","","-20.7","","-30.2","","-25.5","","43.5","","0.0","","","","","","0.2","","9","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-08","2020","01","08","","-11.2","","-20.8","","-16.0","","34.0","","0.0","","","","","","0.7","","10","","12","","52",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-09","2020","01","09","","-17.6","","-30.6","","-24.1","","42.1","","0.0","","","","","","0.2","","13","","31","","38",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-10","2020","01","10","","-19.9","","-33.2","","-26.5","","44.5","","0.0","","","","","","0.0","","12","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-11","2020","01","11","","-11.9","","-20.0","","-16.0","","34.0","","0.0","","","","","","1.1","","12","","10","","31",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-12","2020","01","12","","-13.6","","-28.6","","-21.1","","39.1","","0.0","","","","","","0.9","","17","","30","","47",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-13","2020","01","13","","-24.7","","-31.3","","-28.0","","46.0","","0.0","","","","","","0.2","","8","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-14","2020","01","14","","-25.3","","-35.4","","-30.4","","48.4","","0.0","","","","","","0.2","","9","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-15","2020","01","15","","-29.4","","-38.9","","-34.2","","52.2","","0.0","","","","","","0.0","","9","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-16","2020","01","16","","-20.0","","-39.3","","-29.6","","47.6","","0.0","","","","","","0.0","","9","","10","","39",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-17","2020","01","17","","-19.1","","-22.1","","-20.6","","38.6","","0.0","","","","","","1.8","","9","","31","","43",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-18","2020","01","18","","-22.1","","-28.7","","-25.4","","43.4","","0.0","","","","","","0.4","","15","","31","","39",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-19","2020","01","19","","-19.5","","-31.0","","-25.3","","43.3","","0.0","","","","","","0.0","","14","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-20","2020","01","20","","-2.1","","-20.8","","-11.5","","29.5","","0.0","","","","","","0.0","","14","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-21","2020","01","21","","-0.3","","-15.2","","-7.8","","25.8","","0.0","","","","","","0.0","","14","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-22","2020","01","22","","-4.3","","-16.6","","-10.5","","28.5","","0.0","","","","","","0.0","","13","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-23","2020","01","23","","-3.5","","-9.4","","-6.5","","24.5","","0.0","","","","","","0.0","","13","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-24","2020","01","24","","-0.5","","-6.7","","-3.6","","21.6","","0.0","","","","","","0.0","","13","","15","","32",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-25","2020","01","25","","-1.9","","-5.3","","-3.6","","21.6","","0.0","","","","","","0.0","","13","","4","","32",""
"-106.72","52.17","SASKATOON RCS","4057165","2020-01-26","2020","01","26","","-3.0","","-9.9","","-6.5","","24.5","","0.0","","","","","","0.0","","13","","","","",""
