"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-106.72","52.17","SASKATOON RCS","4057165","2012-01-01","2012","01","01","","-5.0","","-17.2","","-11.1","","29.1","","0.0","","","M","","M","0.0","","","","32","","43",""
"-106.72","52.17","SASKATOON RCS","4057165","2012-01-02","2012","01","02","","-0.2","","-17.7","","-9.0","","27.0","","0.0","","","M","","M","0.0","","","","18","","48",""
"-106.72","52.17","SASKATOON RCS","4057165","2012-01-03","2012","01","03","","3.3","","-6.9","","-1.8","","19.8","","0.0","","","M","","M","0.0","","","","31","","35",""
"-106.72","52.17","SASKATOON RCS","4057165","2012-01-04","2012","01","04","","5.2","","-8.8","","-1.8","","19.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-106.72","52.17","SASKATOON RCS","4057165","2012-01-05","2012","01","05","","6.4","","-3.3","","1.6","","16.4","","0.0","","","M","","M","0.0","","","","30","","72",""
"-106.72","52.17","SASKATOON RCS","4057165","2012-01-06","2012","01","06","","1.4","","-6.7","","-2.7","","20.7","","0.0","","","M","","M","0.0","","","","32","","63",""
"-106.72","52.17","SASKATOON RCS","4057165","2012-01-07","2012","01","07","","-0.6","","-11.3","","-6.0","","24.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-106.72","52.17","SASKATOON RCS","4057165","2012-01-08","2012","01","08","","6.8","","-8.3","","-0.8","","18.8","","0.0","","","M","","M","0.0","","","","27","","43",""
"-106.72","52.17","SASKATOON RCS","4057165","2012-01-09","2012","01","09","","5.1","","-5.4","","-0.2","","18.2","","0.0","","","M","","M","0.0","","","","24","","32",""
"-106.72","52.17","SASKATOON RCS","4057165","2012-01-10","2012","01","10","","2.3","","-11.6","","-4.7","","22.7","","0.0","","","M","","M","0.0","","","","35","","57",""
