"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-106.72","52.17","SASKATOON RCS","4057165","2022-01-01","2022","01","01","","-23.8","","-36.7","","-30.2","","48.2","","0.0","","","","","","0.0","","14","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2022-01-02","2022","01","02","","-12.5","","-23.8","","-18.2","","36.2","","0.0","","","","","","0.0","","14","","36","","33",""
"-106.72","52.17","SASKATOON RCS","4057165","2022-01-03","2022","01","03","","-18.4","","-21.4","","-19.9","","37.9","","0.0","","","","","","1.3","","14","","4","","46",""
"-106.72","52.17","SASKATOON RCS","4057165","2022-01-04","2022","01","04","","-21.2","","-28.5","","-24.9","","42.9","","0.0","","","","","","1.5","","18","","6","","51",""
"-106.72","52.17","SASKATOON RCS","4057165","2022-01-05","2022","01","05","","-27.1","","-37.4","","-32.3","","50.3","","0.0","","","","","","0.0","","17","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2022-01-06","2022","01","06","","-29.8","","-40.4","","-35.1","","53.1","","0.0","","","","","","0.2","","17","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2022-01-07","2022","01","07","","-20.0","","-33.9","","-26.9","","44.9","","0.0","","","","","","0.9","","17","","11","","31",""
"-106.72","52.17","SASKATOON RCS","4057165","2022-01-08","2022","01","08","","-21.9","","-34.1","","-28.0","","46.0","","0.0","","","","","","0.2","","17","","28","","51",""
"-106.72","52.17","SASKATOON RCS","4057165","2022-01-09","2022","01","09","","-21.3","","-33.6","","-27.4","","45.4","","0.0","","","","","","0.0","","9","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2022-01-10","2022","01","10","","-13.1","","-21.3","","-17.2","","35.2","","0.0","","","","","","0.0","","9","","","","",""
"-106.72","52.17","SASKATOON RCS","4057165","2022-01-11","2022","01","11","","-0.7","","-15.8","","-8.3","","26.3","","0.0","","","","","","0.2","","10","","27","","38",""
