"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-106.72","52.17","SASKATOON RCS","4057165","2014-01-01","2014","01","01","","-24.5","","-32.1","","-28.3","","46.3","","0.0","","","M","","M","0.2","","17","","","","<31",""
"-106.72","52.17","SASKATOON RCS","4057165","2014-01-02","2014","01","02","","-6.7","","-29.3","","-18.0","","36.0","","0.0","","","M","","M","0.0","","17","","17","","41",""
"-106.72","52.17","SASKATOON RCS","4057165","2014-01-03","2014","01","03","","-6.2","","-23.4","","-14.8","","32.8","","0.0","","","M","","M","3.2","","20","","1","","52",""
"-106.72","52.17","SASKATOON RCS","4057165","2014-01-04","2014","01","04","","-21.2","","-29.7","","-25.5","","43.5","","0.0","","","M","","M","0.0","","20","","31","","39",""
"-106.72","52.17","SASKATOON RCS","4057165","2014-01-05","2014","01","05","","-28.4","","-33.6","","-31.0","","49.0","","0.0","","","M","","M","0.0","","20","","31","","43",""
"-106.72","52.17","SASKATOON RCS","4057165","2014-01-06","2014","01","06","","-21.5","","-36.8","","-29.2","","47.2","","0.0","","","M","","M","1.4","","20","","","","<31",""
"-106.72","52.17","SASKATOON RCS","4057165","2014-01-07","2014","01","07","","-22.1","","-33.5","","-27.8","","45.8","","0.0","","","M","","M","0.0","","19","","","","<31",""
"-106.72","52.17","SASKATOON RCS","4057165","2014-01-08","2014","01","08","","-10.8","","-30.9","","-20.9","","38.9","","0.0","","","M","","M","0.0","","19","","17","","37",""
"-106.72","52.17","SASKATOON RCS","4057165","2014-01-09","2014","01","09","","-8.8","","-12.3","","-10.6","","28.6","","0.0","","","M","","M","0.0","","21","","","","<31",""
"-106.72","52.17","SASKATOON RCS","4057165","2014-01-10","2014","01","10","","-6.3","","-13.6","","-10.0","","28.0","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-106.72","52.17","SASKATOON RCS","4057165","2014-01-11","2014","01","11","","-0.3","","-16.4","","-8.4","","26.4","","0.0","","","M","","M","0.2","","21","","14","","52",""
