"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-106.67","52.12","SASKATOON 2","4057172","1988-01-01","1988","01","01","","-9.0","","-27.0","","-18.0","","36.0","","0.0","","0.0","","2.8","","2.8","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-02","1988","01","02","","-8.5","","-19.5","","-14.0","","32.0","","0.0","","0.0","","0.4","","0.4","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-03","1988","01","03","","-22.5","","-23.0","","-22.8","","40.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-04","1988","01","04","","-25.5","","-33.0","","-29.3","","47.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-05","1988","01","05","","-23.0","","-35.5","","-29.3","","47.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-06","1988","01","06","","-16.0","","-35.5","","-25.8","","43.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-07","1988","01","07","","-14.5","","-25.5","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-08","1988","01","08","","-19.0","","-22.5","","-20.8","","38.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-09","1988","01","09","","-16.0","","-27.0","","-21.5","","39.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-10","1988","01","10","","-18.0","","-27.0","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-11","1988","01","11","","-21.0","","-29.0","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-12","1988","01","12","","-19.0","","-30.0","","-24.5","","42.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-13","1988","01","13","","-12.0","","-29.5","","-20.8","","38.8","","0.0","","0.0","","0.6","","0.6","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-14","1988","01","14","","0.0","","-29.0","","-14.5","","32.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-15","1988","01","15","","2.0","","-20.0","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-16","1988","01","16","","-2.5","","-9.0","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-17","1988","01","17","","-10.5","","-18.0","","-14.3","","32.3","","0.0","","0.0","","1.0","","1.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-18","1988","01","18","","-8.5","","-18.0","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-19","1988","01","19","","-15.0","","-21.0","","-18.0","","36.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-20","1988","01","20","","1.0","","-22.0","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-21","1988","01","21","","1.0","","-20.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-22","1988","01","22","","-3.5","","-16.5","","-10.0","","28.0","","0.0","","0.0","","4.6","","4.6","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-23","1988","01","23","","2.0","","-15.5","","-6.8","","24.8","","0.0","","0.0","","0.8","","0.8","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-24","1988","01","24","","-14.0","","-22.0","","-18.0","","36.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-25","1988","01","25","","-4.5","","-23.5","","-14.0","","32.0","","0.0","","0.0","","3.6","","3.6","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-26","1988","01","26","","-0.5","","-16.0","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-27","1988","01","27","","-5.0","","-15.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-28","1988","01","28","","-5.0","","-13.0","","-9.0","","27.0","","0.0","","0.0","","0.2","","0.2","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-29","1988","01","29","","-11.5","","-13.0","","-12.3","","30.3","","0.0","","0.0","","6.0","","6.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-30","1988","01","30","","-19.5","","-22.0","","-20.8","","38.8","","0.0","","0.0","","1.0","","1.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-01-31","1988","01","31","","-26.5","","-31.5","","-29.0","","47.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-02-01","1988","02","01","","-24.5","","-37.5","","-31.0","","49.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-02-02","1988","02","02","","-23.0","","-37.0","","-30.0","","48.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-02-03","1988","02","03","","-25.0","","-37.0","","-31.0","","49.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-02-04","1988","02","04","","-25.5","","-36.5","","-31.0","","49.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-02-05","1988","02","05","","-18.5","","-32.0","","-25.3","","43.3","","0.0","","0.0","","0.6","","0.6","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-02-06","1988","02","06","","-16.5","","-30.5","","-23.5","","41.5","","0.0","","0.0","","1.8","","1.8","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-02-07","1988","02","07","","-16.5","","-30.5","","-23.5","","41.5","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1988-02-08","1988","02","08","","-20.5","","-29.0","","-24.8","","42.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
