"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-106.67","52.12","SASKATOON 2","4057172","1990-01-01","1990","01","01","","1.0","","-19.0","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1990-01-02","1990","01","02","","-11.5","","-13.0","","-12.3","","30.3","","0.0","","0.0","","2.2","","2.2","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1990-01-03","1990","01","03","","-14.0","","-20.5","","-17.3","","35.3","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1990-01-04","1990","01","04","","-15.0","","-24.5","","-19.8","","37.8","","0.0","","0.0","","0.4","","0.4","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1990-01-05","1990","01","05","","1.0","","-27.0","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1990-01-06","1990","01","06","","3.5","","-26.0","","-11.3","","29.3","","0.0","","1.0","","0.0","","1.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1990-01-07","1990","01","07","","4.0","","-6.5","","-1.3","","19.3","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1990-01-08","1990","01","08","","-5.5","","-8.5","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1990-01-09","1990","01","09","","-1.0","","-9.5","","-5.3","","23.3","","0.0","","0.0","","0.2","","0.2","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1990-01-10","1990","01","10","","1.0","","-8.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1990-01-11","1990","01","11","","-6.5","","-11.0","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1990-01-12","1990","01","12","","-3.5","","-16.0","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1990-01-13","1990","01","13","","-7.0","","-14.5","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1990-01-14","1990","01","14","","-2.0","","-14.0","","-8.0","","26.0","","0.0","","0.0","","2.0","","2.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1990-01-15","1990","01","15","","-3.5","","-10.5","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1990-01-16","1990","01","16","","-5.0","","-11.0","","-8.0","","26.0","","0.0","","0.0","","4.2","","4.2","","","","","","",""
