"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-106.67","52.12","SASKATOON 2","4057172","1983-01-01","1983","01","01","","-5.5","","-8.5","","-7.0","","25.0","","0.0","","0.0","","0.2","","0.2","","24","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-02","1983","01","02","","-5.5","","-12.0","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-03","1983","01","03","","-2.5","","-10.0","","-6.3","","24.3","","0.0","","0.0","","1.0","","1.0","","24","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-04","1983","01","04","","-7.0","","-11.5","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-05","1983","01","05","","-6.5","","-17.5","","-12.0","","30.0","","0.0","","0.0","","0.0","T","0.0","T","25","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-06","1983","01","06","","-8.0","","-17.0","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-07","1983","01","07","","-4.5","","-16.5","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-08","1983","01","08","","-0.5","","-15.5","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-09","1983","01","09","","-4.0","","-8.5","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-10","1983","01","10","","-11.5","","-14.5","","-13.0","","31.0","","0.0","","0.0","","0.0","T","0.0","T","24","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-11","1983","01","11","","-4.5","","-28.5","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-12","1983","01","12","","1.5","","-17.5","E","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-13","1983","01","13","","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","0.0","T","0.0","T","24","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-14","1983","01","14","","-7.5","","-16.0","","-11.8","","29.8","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-15","1983","01","15","","-2.0","","-16.5","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-16","1983","01","16","","-17.0","","-21.0","","-19.0","","37.0","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-106.67","52.12","SASKATOON 2","4057172","1983-01-17","1983","01","17","","-9.0","","-23.0","","-16.0","","34.0","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
