"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-106.68","52.12","SASKATOON WATER TP","4057202","2002-01-01","2002","01","01","","-14.0","","-23.0","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","2002-01-02","2002","01","02","","-9.0","","-22.0","","-15.5","","33.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","2002-01-03","2002","01","03","","-6.5","","-17.5","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","2002-01-04","2002","01","04","","1.5","","-11.5","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","2002-01-05","2002","01","05","","-4.0","","-8.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","2002-01-06","2002","01","06","","2.5","","-9.5","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","2002-01-07","2002","01","07","","6.0","","-5.5","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","2002-01-08","2002","01","08","","7.0","","1.0","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","2002-01-09","2002","01","09","","2.0","","-1.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","2002-01-10","2002","01","10","","4.0","","-6.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","2002-01-11","2002","01","11","","3.5","","-4.0","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","2002-01-12","2002","01","12","","0.0","","-8.5","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"-106.68","52.12","SASKATOON WATER TP","4057202","2002-01-13","2002","01","13","","1.0","","-5.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
