"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-106.72","52.17","SASKATOON RCS","4057165","2018-01-01","2018","01","01","","-19.0","","-30.1","","-24.6","","42.6","","0.0","","","M","","M","0.2","","13","","20","","39",""
"-106.72","52.17","SASKATOON RCS","4057165","2018-01-02","2018","01","02","","-6.7","","-19.1","","-12.9","","30.9","","0.0","","","M","","M","0.0","","13","","21","","33",""
"-106.72","52.17","SASKATOON RCS","4057165","2018-01-03","2018","01","03","","-4.6","","-15.0","","-9.8","","27.8","","0.0","","","M","","M","0.0","","14","","","","<31",""
"-106.72","52.17","SASKATOON RCS","4057165","2018-01-04","2018","01","04","","","M","-15.0","E","","M","","M","","M","","M","","M","","M","14","","","M","","M"
"-106.72","52.17","SASKATOON RCS","4057165","2018-01-05","2018","01","05","","-9.1","","-12.9","","-11.0","","29.0","","0.0","","","M","","M","0.0","","14","","10","","32",""
"-106.72","52.17","SASKATOON RCS","4057165","2018-01-06","2018","01","06","","-2.1","","-14.0","","-8.1","","26.1","","0.0","","","M","","M","0.0","","14","","28","","32",""
"-106.72","52.17","SASKATOON RCS","4057165","2018-01-07","2018","01","07","","0.9","","-12.4","","-5.8","","23.8","","0.0","","","M","","M","0.0","","14","","29","","54",""
"-106.72","52.17","SASKATOON RCS","4057165","2018-01-08","2018","01","08","","-2.0","","-9.2","","-5.6","","23.6","","0.0","","","M","","M","0.0","","14","","","","<31",""
"-106.72","52.17","SASKATOON RCS","4057165","2018-01-09","2018","01","09","","-4.8","","-17.4","","-11.1","","29.1","","0.0","","","M","","M","0.0","","14","","36","","48",""
"-106.72","52.17","SASKATOON RCS","4057165","2018-01-10","2018","01","10","","-17.2","","-27.5","","-22.4","","40.4","","0.0","","","M","","M","0.0","","14","","35","","48",""
"-106.72","52.17","SASKATOON RCS","4057165","2018-01-11","2018","01","11","","-21.9","","-31.4","","-26.7","","44.7","","0.0","","","M","","M","0.5","","14","","","","<31",""
"-106.72","52.17","SASKATOON RCS","4057165","2018-01-12","2018","01","12","","-21.7","","-32.5","","-27.1","","45.1","","0.0","","","M","","M","0.5","","14","","","","<31",""
